UserID,Name,Email,Age,Location,Sept_sub_type,Recurring Logins,Aug_sub_type
1,George Brooks,george.brooks@yipa.com,65,Accra,Free,4,Free
2,Todd Sexton,todd.sexton@yipa.com,28,Nairobi,Free,5,Free
3,Christopher Jarvis,christopher.jarvis@yipa.com,24,Nairobi,Free,3,Digital Universe+
4,Andrea Torres,andrea.torres@yipa.com,21,Accra,Digital Universe+,1,Free
5,Nicole Snow,nicole.snow@yipa.com,30,Kumasi,Free,1,Free
6,Jessica King,jessica.king@yipa.com,19,Mombasa,Digital Universe+,2,Digital Universe+
7,Nicholas Sims,nicholas.sims@yipa.com,52,Nairobi,Free,5,Digital Universe+
8,David Perez,david.perez@yipa.com,39,Abuja,Digital Universe+,5,Digital Universe+
9,Steven Kirby,steven.kirby@yipa.com,26,Lagos,Free,4,Digital Universe+
10,Tanya Stout,tanya.stout@yipa.com,30,Accra,Free,4,Digital Universe+
11,Amy Moon,amy.moon@yipa.com,55,Lagos,Free,2,Free
12,Mary Erickson,mary.erickson@yipa.com,25,Accra,Digital Universe+,3,Digital Universe+
13,Christina Smith,christina.smith@yipa.com,39,Mombasa,Free,5,Free
14,Tanner Diaz,tanner.diaz@yipa.com,35,Mombasa,Free,4,Digital Universe+
15,Barbara Adkins,barbara.adkins@yipa.com,20,Nairobi,Free,4,Digital Universe+
16,David Howard,david.howard@yipa.com,22,Accra,Free,5,Digital Universe+
17,Laura Myers,laura.myers@yipa.com,28,Nairobi,Free,3,Digital Universe+
18,Angela Lawson,angela.lawson@yipa.com,19,Accra,Digital Universe+,4,Free
19,Anna Miller,anna.miller@yipa.com,22,Nairobi,Digital Universe+,5,Free
20,Aaron Smith,aaron.smith@yipa.com,29,Accra,Digital Universe+,2,Digital Universe+
21,Robert Brooks,robert.brooks@yipa.com,18,Accra,Digital Universe+,4,Digital Universe+
22,Christopher Cole,christopher.cole@yipa.com,41,Accra,Free,4,Free
23,Adam Spencer,adam.spencer@yipa.com,50,Lagos,Free,5,Digital Universe+
24,Donald Walker,donald.walker@yipa.com,51,Abuja,Free,4,Free
25,Shawn Mooney,shawn.mooney@yipa.com,34,Nairobi,Free,4,Digital Universe+
26,Steven Bailey,steven.bailey@yipa.com,30,Nairobi,Free,4,Digital Universe+
27,Charlotte Taylor,charlotte.taylor@yipa.com,45,Accra,Free,4,Digital Universe+
28,Kara Russell,kara.russell@yipa.com,18,Lagos,Free,2,Digital Universe+
29,Heidi Gray,heidi.gray@yipa.com,25,Accra,Free,4,Digital Universe+
30,Justin Gregory,justin.gregory@yipa.com,19,Lagos,Digital Universe+,5,Free
31,Jennifer Johnson,jennifer.johnson@yipa.com,19,Nairobi,Free,1,Free
32,Susan Byrd,susan.byrd@yipa.com,31,Lagos,Digital Universe+,2,Free
33,Patricia Montgomery,patricia.montgomery@yipa.com,21,Mombasa,Digital Universe+,1,Free
34,Geoffrey Ramirez,geoffrey.ramirez@yipa.com,26,Abuja,Free,4,Digital Universe+
35,Teresa Mendoza,teresa.mendoza@yipa.com,25,Abuja,Free,4,Digital Universe+
36,Christian Page,christian.page@yipa.com,65,Abuja,Free,3,Digital Universe+
37,Melanie Brown,melanie.brown@yipa.com,30,Abuja,Digital Universe+,4,Free
38,Jesse Smith,jesse.smith@yipa.com,23,Accra,Free,2,Free
39,Heather Johnson,heather.johnson@yipa.com,63,Nairobi,Digital Universe+,1,Free
40,Angela Warner,angela.warner@yipa.com,29,Nairobi,Free,5,Free
41,Rhonda Reese,rhonda.reese@yipa.com,24,Accra,Free,4,Free
42,Joseph Ellison,joseph.ellison@yipa.com,26,Mombasa,Free,5,Free
43,Dennis Phillips,dennis.phillips@yipa.com,22,Accra,Free,3,Free
44,George Hoover,george.hoover@yipa.com,30,Lagos,Digital Universe+,5,Free
45,Mark White,mark.white@yipa.com,26,Accra,Digital Universe+,2,Digital Universe+
46,Caitlin Walker,caitlin.walker@yipa.com,62,Nairobi,Digital Universe+,3,Digital Universe+
47,Molly Johnson,molly.johnson@yipa.com,56,Accra,Free,5,Free
48,Jim Bass,jim.bass@yipa.com,21,Accra,Digital Universe+,4,Free
49,James Wilkins,james.wilkins@yipa.com,24,Kumasi,Free,3,Free
50,Cynthia Ramirez,cynthia.ramirez@yipa.com,27,Nairobi,Digital Universe+,4,Free
51,Erica Shepard,erica.shepard@yipa.com,22,Accra,Free,4,Digital Universe+
52,Pedro Gray,pedro.gray@yipa.com,33,Lagos,Digital Universe+,1,Digital Universe+
53,Eric Bell,eric.bell@yipa.com,29,Lagos,Digital Universe+,4,Free
54,Collin York,collin.york@yipa.com,28,Nairobi,Digital Universe+,4,Digital Universe+
55,Sarah Flores,sarah.flores@yipa.com,59,Nairobi,Digital Universe+,5,Free
56,Michelle Mejia,michelle.mejia@yipa.com,40,Nairobi,Free,3,Digital Universe+
57,Barbara Hall,barbara.hall@yipa.com,21,Lagos,Free,1,Digital Universe+
58,Charles Stephens,charles.stephens@yipa.com,55,Accra,Free,4,Free
59,Kevin Ruiz,kevin.ruiz@yipa.com,25,Kumasi,Free,1,Digital Universe+
60,Walter Estrada,walter.estrada@yipa.com,51,Mombasa,Free,5,Free
61,Stephen Miller,stephen.miller@yipa.com,20,Abuja,Free,5,Free
62,Lindsey Stanley,lindsey.stanley@yipa.com,24,Abuja,Digital Universe+,5,Free
63,Joel Blair,joel.blair@yipa.com,22,Accra,Free,3,Digital Universe+
64,Ronald Hall,ronald.hall@yipa.com,37,Lagos,Free,1,Free
65,April Contreras,april.contreras@yipa.com,30,Lagos,Free,3,Digital Universe+
66,Joseph Rose,joseph.rose@yipa.com,49,Nairobi,Free,4,Digital Universe+
67,Scott Howell,scott.howell@yipa.com,39,Accra,Digital Universe+,5,Digital Universe+
68,David Meyer,david.meyer@yipa.com,36,Lagos,Free,5,Digital Universe+
69,Robert Robinson,robert.robinson@yipa.com,27,Kumasi,Free,5,Free
70,Tina Williams,tina.williams@yipa.com,19,Lagos,Free,5,Digital Universe+
71,Chase Hill,chase.hill@yipa.com,18,Accra,Free,4,Digital Universe+
72,Megan Turner,megan.turner@yipa.com,64,Lagos,Digital Universe+,4,Free
73,Ariel Robbins,ariel.robbins@yipa.com,19,Mombasa,Free,4,Digital Universe+
74,Julia Cordova,julia.cordova@yipa.com,18,Mombasa,Free,4,Free
75,Alyssa Gardner,alyssa.gardner@yipa.com,30,Lagos,Free,5,Digital Universe+
76,Terry Lopez,terry.lopez@yipa.com,29,Accra,Free,3,Free
77,Kimberly Brown,kimberly.brown@yipa.com,27,Mombasa,Free,3,Free
78,Joseph Mcdonald,joseph.mcdonald@yipa.com,27,Accra,Free,4,Free
79,Rita Walsh,rita.walsh@yipa.com,21,Accra,Digital Universe+,5,Free
80,Shane Price,shane.price@yipa.com,25,Lagos,Digital Universe+,4,Free
81,Matthew Johnson,matthew.johnson@yipa.com,25,Abuja,Free,5,Digital Universe+
82,Jennifer Butler,jennifer.butler@yipa.com,25,Abuja,Free,5,Free
83,John Martinez,john.martinez@yipa.com,25,Nairobi,Free,4,Free
84,Christopher Potts,christopher.potts@yipa.com,40,Accra,Digital Universe+,5,Free
85,Mark Green,mark.green@yipa.com,20,Kumasi,Free,4,Digital Universe+
86,Veronica Lee,veronica.lee@yipa.com,27,Nairobi,Free,5,Free
87,Keith Holland,keith.holland@yipa.com,28,Kumasi,Digital Universe+,2,Digital Universe+
88,Rebecca Sharp,rebecca.sharp@yipa.com,30,Lagos,Digital Universe+,5,Digital Universe+
89,Vicki Powell,vicki.powell@yipa.com,30,Accra,Digital Universe+,5,Free
90,Cynthia Jennings,cynthia.jennings@yipa.com,29,Abuja,Free,1,Digital Universe+
91,Aaron Rodriguez,aaron.rodriguez@yipa.com,52,Kumasi,Digital Universe+,4,Free
92,Seth Coleman,seth.coleman@yipa.com,25,Lagos,Digital Universe+,4,Free
93,Paul Nelson,paul.nelson@yipa.com,19,Nairobi,Free,4,Digital Universe+
94,Amy Taylor,amy.taylor@yipa.com,28,Nairobi,Free,1,Digital Universe+
95,Brandon Crosby,brandon.crosby@yipa.com,35,Lagos,Digital Universe+,2,Free
96,Michael Cook,michael.cook@yipa.com,20,Accra,Free,4,Free
97,Lucas Rodriguez,lucas.rodriguez@yipa.com,55,Mombasa,Free,1,Digital Universe+
98,Jennifer Herrera,jennifer.herrera@yipa.com,49,Lagos,Free,4,Digital Universe+
99,Matthew Jones,matthew.jones@yipa.com,22,Mombasa,Free,5,Digital Universe+
100,Lisa Montoya,lisa.montoya@yipa.com,29,Nairobi,Digital Universe+,3,Digital Universe+
101,Barbara Mcmillan,barbara.mcmillan@yipa.com,49,Lagos,Free,5,Free
102,Jeremy Robbins,jeremy.robbins@yipa.com,30,Accra,Free,5,Free
103,Mary Smith,mary.smith@yipa.com,35,Kumasi,Free,5,Free
104,Amy Walker,amy.walker@yipa.com,33,Abuja,Free,3,Free
105,Steven Warren,steven.warren@yipa.com,64,Abuja,Free,5,Digital Universe+
106,Sheena Morgan,sheena.morgan@yipa.com,30,Mombasa,Free,4,Free
107,Richard Hunter,richard.hunter@yipa.com,58,Accra,Free,1,Free
108,Janet Sawyer,janet.sawyer@yipa.com,24,Mombasa,Digital Universe+,4,Free
109,Anthony Jackson,anthony.jackson@yipa.com,18,Accra,Free,5,Free
110,Alan Evans,alan.evans@yipa.com,21,Accra,Free,2,Free
111,Julie Moore,julie.moore@yipa.com,21,Mombasa,Free,4,Free
112,Aaron Carter,aaron.carter@yipa.com,20,Lagos,Free,4,Digital Universe+
